,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
116,116.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OF TRANSFORED EX-MILITANTS,35409859972.0
117,117.0,2014.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: REINSERTION/TRANSITION SAFTY ALLOWANCEFOR 3,642 EX- MILITANTS ( 3RD PHASE)",546300000.0
118,118.0,2014.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,9099001806.0
119,119.0,2014.0,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION (SGF),19795206242.0
120,120.0,2014.0,OTHERS,CAPITAL EXPENDITURE,YOUTH DEVELOPMENT,5036186656.0
121,121.0,2014.0,OTHERS,CAPITAL EXPENDITURE,POLICE AFFAIRS,3439131188.0
122,122.0,2014.0,OTHERS,CAPITAL EXPENDITURE,POLICE FORMATION AND COMMANDS,7340000000.0
123,123.0,2014.0,OTHERS,CAPITAL EXPENDITURE,WOMEN AFFAIRS,2992311641.0
124,124.0,2014.0,OTHERS,CAPITAL EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,35551172583.0
125,125.0,2014.0,,CAPITAL EXPENDITURE,WATER RESOURCES,44206343742.0
126,126.0,2014.0,OTHERS,CAPITAL EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,1943134021.0
127,127.0,2014.0,OTHERS,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,132897643.0
128,128.0,2014.0,OTHERS,CAPITAL EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,35360000000.0
129,129.0,2014.0,OTHERS,CAPITAL EXPENDITURE,EDUCATION,50781035231.0
130,130.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,30410000000.0
131,131.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FOREIGN AFFAIRS,17081563540.0
132,132.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FINANCE,2531276268.0
133,133.0,2014.0,OTHERS,CAPITAL EXPENDITURE,HEALTH,49535699601.0
134,134.0,2014.0,OTHERS,CAPITAL EXPENDITURE,TRADE AND INVESTMENT,3664494962.0
135,135.0,2014.0,OTHERS,CAPITAL EXPENDITURE,INFORMATION,3830414506.0
136,136.0,2014.0,OTHERS,CAPITAL EXPENDITURE,COMMUNICATION TECHNOLOGY,4065032066.0
137,137.0,2014.0,OTHERS,CAPITAL EXPENDITURE,INTERIOR,6949311467.0
138,138.0,2014.0,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,4139125454.0
139,139.0,2014.0,OTHERS,CAPITAL EXPENDITURE,JUSTICE,1073500135.0
140,140.0,2014.0,OTHERS,CAPITAL EXPENDITURE,LABOUR AND PRODUCTIVITY,1801548597.0
141,141.0,2014.0,OTHERS,CAPITAL EXPENDITURE,POWER,59814290389.0
142,142.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SCIENCE AND TECHNOLOGY,13014788701.0
143,143.0,2014.0,OTHERS,CAPITAL EXPENDITURE,TRANSPORT,31808108913.0
144,144.0,2014.0,OTHERS,CAPITAL EXPENDITURE,PETROLEUM RESOURCES,6221948219.0
145,145.0,2014.0,OTHERS,CAPITAL EXPENDITURE,WORKS,106321203055.0
146,146.0,2014.0,OTHERS,CAPITAL EXPENDITURE,LANDS & HOUSING,15756721003.0
147,147.0,2014.0,OTHERS,CAPITAL EXPENDITURE,MINES & STEEL DEVELOPMENT,2176868615.0
148,148.0,2014.0,OTHERS,CAPITAL EXPENDITURE,AVIATION,26157892040.0
149,149.0,2013.0,OTHERS,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",173438793.0
150,150.0,2014.0,OTHERS,CAPITAL EXPENDITURE,ENVIRONMENT,8974898681.0
151,151.0,2014.0,OTHERS,CAPITAL EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",4213941052.0
152,152.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION,2018068871.0
153,153.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL SPORTS COMMISSION,1764028442.0
154,154.0,2014.0,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,51100000000.0
155,155.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NIGER-DELTA,49403704194.0
156,156.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL DUTIES,53212473.0
157,157.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL DUTIES AND INTERGOVERNMENTAL AFFAIRS,200405367.0
158,158.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,53835005.0
159,159.0,2014.0,OTHERS,CAPITAL EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,47878526.0
160,160.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,1203588087.0
161,161.0,2014.0,OTHERS,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,1006147091.0
162,162.0,2014.0,OTHERS,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,252440642.0
163,163.0,2014.0,OTHERS,CAPITAL EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1100722408.0
164,164.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,254136819.0
165,165.0,2014.0,OTHERS,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,1013220850.0
166,166.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,311143466.0
167,167.0,2014.0,OTHERS,CAPITAL EXPENDITURE,ADJUSTMENT TO CAPITAL COST,4500000000.0
168,168.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL JOB CREATION SCHEME,8000000000.0
169,169.0,2014.0,OTHERS,CAPITAL EXPENDITURE,QUICK WINS - COMPLETION OF 2008 &2009 PROJECTS,1000000000.0
170,170.0,2014.0,OTHERS,CAPITAL EXPENDITURE,MILLENIUM DEVELOPMENT GOALS MONITORING AND BULK TRADER EVALUATION,3240000000.0
171,171.0,2014.0,OTHERS,CAPITAL EXPENDITURE,"CONSULTANCY, SURVEY AND SHORT TERM STUDIES",600000000.0
172,172.0,2014.0,OTHERS,CAPITAL EXPENDITURE,COMMUNICATION AND ADVOCACY (MDG) REPORTING 2011 MDG,610000000.0
173,173.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL INTERVENTION MELMCO,14000000000.0
174,174.0,2014.0,OTHERS,CAPITAL EXPENDITURE,BULK TRADER,14000000000.0
175,175.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SINKING FUND FOR INFRASTRUCTURAL DEVELOPMENT,27000000000.0
176,176.0,2014.0,OTHERS,CAPITAL EXPENDITURE,"SPECIAL INITIATIVE FOR WOMEN PARTICIPATION IN AGRICULTURE, WATER, SPORT, COMMUNICATION TECHNOLOGY",3000000000.0
177,177.0,2014.0,OTHERS,CAPITAL EXPENDITURE,GIFMIS CAPITAL,1000000000.0
178,178.0,2014.0,OTHERS,CAPITAL EXPENDITURE,IPPIS CAPITAL,1000000000.0
179,179.0,2014.0,OTHERS,CAPITAL EXPENDITURE,2011 ELECTION VIOLENCE AND CIVIL DISTURBANCES (DAMAGEDONE TO PUBLIC PROPERTIES AND PLACES OF WORSHIPS),1000000000.0
180,180.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NEW NIGERIA NEWSPAPERS LIABILITY,424612357.0
181,181.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPORTS DEVELOPMENT,5000000000.0
182,182.0,2014.0,OTHERS,CAPITAL EXPENDITURE,MDG SPECIAL PROJECTS,3300000000.0
183,183.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL INTERVENTION MDG's 1,17155000000.0
184,184.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL INTERVENTION MDG's 2,5300000000.0
185,185.0,2014.0,OTHERS,CAPITAL EXPENDITURE,CAPITAL DEVELOPMENT OF NATIONAL INSTITUTE FOR LEGISLATIVE STUDIES,5000000000.0
186,186.0,2014.0,OTHERS,CAPITAL EXPENDITURE,HOSTING OF WORLD ECONOMIC FORUM (WEF),4000000000.0
187,187.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION (INFRASTRUCTURE MASTER PLAN),1200000000.0
188,188.0,2014.0,OTHERS,CAPITAL EXPENDITURE,HOUSING MORTGAGE INSTITUTIONS,2000000000.0
189,189.0,2014.0,OTHERS,CAPITAL EXPENDITURE,REFUND TO RICE LEVY (NIGCOMSAT),1360000000.0
190,190.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL INTERVENTION/CONSTITUENCY PROJECTS,100000000000.0
191,191.0,2014.0,OTHERS,CAPITAL EXPENDITURE,REFUND TO SPECIAL ACCOUNT,9000000000.0
192,192.0,2014.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL INITIATIVE FOR NORTH EAST (PILOT COUNTERPART FUNDING CONTRIBUTION),2000000000.0
193,193.0,2014.0,OTHERS,CAPITAL EXPENDITURE,COUNTERPART FUNDING INCLUDING GLOBAL FUND/HEALTH,4800000000.0
194,194.0,2014.0,OTHERS,CAPITAL EXPENDITURE,MULTI YEAR TARIFF ORDER,10000000000.0
195,195.0,2014.0,OTHERS,CAPITAL EXPENDITURE,CONDITIONAL GRANTS AND SOCILA SAFETY NETS (MDGS),67730000000.0
196,196.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SUPPORT TO UNDP MILLENIUM CAMPAIGN PROGRAMME NIGERIA IN AFRICA / AFRICANS IN PALIMENTARIAN PROGRAMME,360000000.0
197,197.0,2014.0,OTHERS,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS,10000000000.0
198,198.0,2014.0,OTHERS,CAPITAL EXPENDITURE,GALAXY BACKBONE,4360000000.0
199,199.0,2014.0,OTHERS,CAPITAL EXPENDITURE,BANK OF INDUSTRY,1500000000.0
200,200.0,2014.0,OTHERS,CAPITAL EXPENDITURE,BANK OF AGRICULTURE,1000000000.0
201,201.0,2014.0,OTHERS,CAPITAL EXPENDITURE,PAYMENT FOR MATURING DOMESTIC BONDS,25000000000.0
202,202.0,2014.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY CLINIC,1000000000.0
203,203.0,2014.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL INTERVENTION (MINISTRY OF SPECIAL DUTIES),18000000000.0
204,204.0,2014.0,OTHERS,CAPITAL EXPENDITURE,DEVELOPMENT FINANCE INSTITUTION (DFI),16000000000.0
205,205.0,2014.0,OTHERS,SUBSIDY RE-INVESTMENT,SUBSIDY RE-INVESTMENT AND EMPOWERMENT PROGRAMME (SURE-P),268370000000.0
0,0.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,73000000000.0
1,1.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,46720000000.0
2,2.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,68380000000.0
3,3.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,120000000000.0
4,4.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,4000000000.0
5,5.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INEC,62000000000.0
6,6.0,2015.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,1516000000.0
7,7.0,2015.0,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,894610000000.0
8,8.0,2015.0,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,59010000000.0
9,9.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,20085865120.0
10,10.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRAQTION,48389942264.0
11,11.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YOUTH DEVELOPMENT,69423427479.0
12,12.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE AFFAIRS,4456267942.0
13,13.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,303822224611.0
14,14.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WOMEN AFFAIRS,1393073862.0
15,15.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,31869020717.0
16,16.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WATER RESOURCES,7668953562.0
17,17.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2817298014.0
18,18.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,4610936843.0
19,19.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,338797219431.0
20,20.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,EDUCATION,392363784654.0
21,21.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FOREIGN AFFAIRS,41649382166.0
22,22.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FINANCE,12892501022.0
23,23.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,HEALTH,237075742847.0
24,24.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRADE AND INVESTMENT,10941859480.0
25,25.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFORMATION,23682420241.0
26,26.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10592048381.0
27,27.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INTERIOR,153330022460.0
28,28.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,6349028054.0
29,29.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,JUSTICE,18944638350.0
30,30.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LABOUR AND PRODUCTIVITY,8305830880.0
31,31.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POWER,4476813831.0
32,32.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SCIENCE AND TECHNOLOGY,26590103366.0
33,33.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRANSPORT,9260812531.0
34,34.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PETROLEUM RESOURCES,58274429975.0
35,35.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WORKS,25173916543.0
36,36.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LANDS & HOUSING,5649088618.0
37,37.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINES & STEEL DEVELOPMENT,10031109540.0
38,38.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AVIATION,6363889393.0
39,39.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",675109533.0
40,40.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ENVIRONMENT,15599334341.0
41,41.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",18081478935.0
42,42.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL PLANNING COMMISSION,6720386693.0
43,43.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL SPORTS COMMISSION,5163253493.0
44,44.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,62226771999.0
45,45.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NIGER-DELTA,2134200737.0
46,46.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES,67485037.0
47,47.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES AND INTERGOVERNMENTAL AFFAIRS,565031449.0
48,48.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,345263134.0
49,49.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,915168504.0
50,50.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,5293800054.0
51,51.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,1935767344.0
52,52.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,493656088.0
53,53.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,2207213456.0
54,54.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1125005114.0
55,55.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,740477185.0
56,56.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2167931068.0
57,57.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),35832111020.0
58,58.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,30282408828.0
59,59.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000.0
60,60.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,400000000.0
61,61.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,REINBURSEMENT TO STATES,250000000.0
62,62.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERATION AND FEDERAL PERMANENT SECRETARIES.,2599702192.0
63,63.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),89596546483.0
64,64.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,70673939944.0
65,65.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2013 RETIREES,2656915035.0
66,66.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,15400000000.0
67,67.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ADMIN. CHARGES,265691504.0
68,68.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,450000000.0
69,69.0,2015.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YEARLY VERIFICATION EXERCISE,150000000.0
70,70.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,POLICE PENSIONS AND GRATUITIES,9625893057.0
71,71.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9225893057.0
72,72.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,VERIFICATION EXERCISES FOR THE YEAR,400000000.0
73,73.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",9456800000.0
74,74.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9256800000.0
75,75.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,200000000.0
76,76.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,17290000001.0
77,77.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,17290000001.0
78,78.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,35434750308.0
79,79.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,35434750308.0
80,80.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,2357298262.0
81,81.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,2257298262.0
82,82.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,100000000.0
83,83.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,9855948644.0
84,84.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),9855948644.0
85,85.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,4709146567.0
86,86.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,4709146567.0
87,87.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO,16900000001.0
88,88.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO PENSION/ARREARS,16900000001.0
89,89.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE WIDE VOTES TOTAL ALLOCATION:,354335011023.0
90,90.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PAYG PENSION INCLUDING DPR,3000000000.0
91,91.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF 33% INCREASE IN PENSION RATES,18000000000.0
92,92.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS,500000000.0
93,93.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO THE REDEMPTION FUND (5% OF TOTAL PERSONNEL COST),60251158887.0
94,94.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF POLICE DEATH BENEFITS (2004 - 2010),3750000000.0
95,95.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs  INCLUDING DSS,14390036516.0
96,96.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARMED FORCES ENHANCED RETIREMENT BENEFITS OFCOMMODORES AND ABOVE ETC.,1000000000.0
97,97.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,35TH  ANNUAL GENERAL MEETING AND SYMPOSIUM OF SHELTER-AFRIQUE IN NIGERIA IN JUNE 2016,250000000.0
98,98.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SEVERANCE BENEFITS OF THE DELTA STEEL COMPANY/PENSION PAAY -OFF,2995000000.0
99,99.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS (MILITARY RETIREES),3544110811.0
100,100.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATION AND MONITORING OF (OHCSF) GROUP LIFE,36000000.0
101,101.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAs (INCLUDING ARREARS OF PROMOTION AND SALARY INCREASE),38987017746.0
102,102.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF 2014 SALARY INCREASE FOR MEDICAL DOCTORS AND OTHER HEALTH PROFESSIONAL,11100000000.0
103,103.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATIONS - INTERNAL FOR THE ARMED FORCES,22000000000.0
104,104.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS INCLUDING WAEC INTERNATIONAL,6000000000.0
105,105.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF COUNTRY CONTRIBUTIONS TO PAN - AFRICAN WRITERS ASSOCIATION (PAWA),208000000.0
106,106.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ASSESSED CONTRIBUTION TO AFRICAN UNION AND OTHERS,4500000000.0
107,107.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,9500000000.0
108,108.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS/RECURRENT ADJUSTMENT,6099600000.0
109,109.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY,17397993277.0
110,110.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MUSLIM/CHRISTIAN PILGRIMAGES,1800000000.0
111,111.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GENERAL ELECTION LOGISTICS SUPPORT,17500000000.0
